Item;Type;Group;Number;DomainIntro;domainImage1;domainImage2;domainImage3;domainImage4;domainImage5;Premises;judgmentImage1;judgmentImage2;TargetResponse;set_A;set_B;A1_color;A2_color;A3_color;B1_color;B2_color
control-false-both-A4;AorB_A1.B1B2;1;1 of 2;MermaidYBG_HairdresserRG.wav;MermaidYellow.png;MermaidBlue.png;MermaidGreen.png;HairdresserRed.png;HairdresserGreen.png;MermaidOrHairdresser_AlsoMermaidYellow.wav;HairdresserRed.png;HairdresserGreen.png;sad;Mermaid;Hairdresser;Yellow;Blue;Green;Red;Green
control-false-both-A4;AorB_A2.B1B2;1;2 of 2;AcrobatBRG_BusinessBY.wav;AcrobatBlue.png;AcrobatRed.png;AcrobatGreen.png;BusinessBlue.png;BusinessYellow.png;AcrobatOrBusiness_AlsoAcrobatRed.wav;BusinessBlue.png;BusinessYellow.png;sad;Acrobat;Business;Blue;Red;Green;Blue;Yellow
control-false-both-A4;AorB_A3.B1B2;2;1 of 2;SoldierYRB_MailmanGB.wav;SoldierYellow.png;SoldierRed.png;SoldierBlue.png;MailmanGreen.png;MailmanBlue.png;SoldierOrMailman_AlsoSoldierBlue.wav;MailmanGreen.png;MailmanBlue.png;sad;Soldier;Mailman;Yellow;Red;Blue;Green;Blue
control-false-both-A4;AorB_A1.B1B2;2;2 of 2;ScubaRGB_GardenerBG.wav;ScubaRed.png;ScubaGreen.png;ScubaBlue.png;GardenerBlue.png;GardenerGreen.png;ScubaOrGardener_AlsoScubaRed.wav;GardenerBlue.png;GardenerGreen.png;sad;Scuba;Gardener;Red;Green;Blue;Blue;Green
control-false-both-A4;AorB_A2.B1B2;3;1 of 2;ScubaGBR_PolicemanBG.wav;ScubaGreen.png;ScubaBlue.png;ScubaRed.png;PolicemanBlue.png;PolicemanGreen.png;ScubaOrPoliceman_AlsoScubaBlue.wav;PolicemanBlue.png;PolicemanGreen.png;sad;Scuba;Policeman;Green;Blue;Red;Blue;Green
control-false-both-A4;AorB_A3.B1B2;3;2 of 2;ClownYRG_WitchGY.wav;ClownYellow.png;ClownRed.png;ClownGreen.png;WitchGreen.png;WitchYellow.png;ClownOrWitch_AlsoClownGreen.wav;WitchGreen.png;WitchYellow.png;sad;Clown;Witch;Yellow;Red;Green;Green;Yellow
control-false-both-A4;AorB_A1.B1B2;4;1 of 2;SoccerRBY_ExplorerRB.wav;SoccerRed.png;SoccerBlue.png;SoccerYellow.png;ExplorerRed.png;ExplorerBlue.png;SoccerOrExplorer_AlsoSoccerRed.wav;ExplorerRed.png;ExplorerBlue.png;sad;Soccer;Explorer;Red;Blue;Yellow;Red;Blue
control-false-both-A4;AorB_A3.B1B2;4;2 of 2;MummyBYG_AstronautGB.wav;MummyBlue.png;MummyYellow.png;MummyGreen.png;AstronautGreen.png;AstronautBlue.png;MummyOrAstronaut_AlsoMummyGreen.wav;AstronautGreen.png;AstronautBlue.png;sad;Mummy;Astronaut;Blue;Yellow;Green;Green;Blue
control-false-both-A4;AorB_A2.B1B2;5;1 of 2;MagicianYGB_KnightRB.wav;MagicianYellow.png;MagicianGreen.png;MagicianBlue.png;KnightRed.png;KnightBlue.png;MagicianOrKnight_AlsoMagicianGreen.wav;KnightRed.png;KnightBlue.png;sad;Magician;Knight;Yellow;Green;Blue;Red;Blue
control-false-both-A4;AorB_A1.B1B2;5;2 of 2;PilotBGR_SoldierYG.wav;PilotBlue.png;PilotGreen.png;PilotRed.png;SoldierYellow.png;SoldierGreen.png;PilotOrSoldier_AlsoPilotBlue.wav;SoldierYellow.png;SoldierGreen.png;sad;Pilot;Soldier;Blue;Green;Red;Yellow;Green
control-false-both-A4;AorB_A3.B1B2;6;1 of 2;MummyBGY_TeacherRG.wav;MummyBlue.png;MummyGreen.png;MummyYellow.png;TeacherRed.png;TeacherGreen.png;MummyOrTeacher_AlsoMummyYellow.wav;TeacherRed.png;TeacherGreen.png;sad;Mummy;Teacher;Blue;Green;Yellow;Red;Green
control-false-both-A4;AorB_A2.B1B2;6;2 of 2;ScientistBGY_MagicianRB.wav;ScientistBlue.png;ScientistGreen.png;ScientistYellow.png;MagicianRed.png;MagicianBlue.png;ScientistOrMagician_AlsoScientistGreen.wav;MagicianRed.png;MagicianBlue.png;sad;Scientist;Magician;Blue;Green;Yellow;Red;Blue
