Item;Type;Group;Number;DomainIntro;domainImage1;domainImage2;domainImage3;domainImage4;domainImage5;Premises;judgmentImage1;judgmentImage2;judgmentImage3;judgmentImage4;TargetResponse;set_A;set_B;A1_color;A2_color;A3_color;B1_color;B2_color
critical-2-A5;AorB_A3.A1A2A3B1;1;1 of 2;ServerRGB_LifeguardRB.wav;ServerRed.png;ServerGreen.png;ServerBlue.png;LifeguardRed.png;LifeguardBlue.png;ServerOrLifeguard_AlsoServerBlue.wav;ServerRed.png;ServerGreen.png;ServerBlue.png;LifeguardRed.png;happy;Server;Lifeguard;Red;Green;Blue;Red;Blue
critical-2-A5;AorB_A2.A1A2A3B2;1;2 of 2;BusinessGRB_GhostRG.wav;BusinessGreen.png;BusinessRed.png;BusinessBlue.png;GhostRed.png;GhostGreen.png;BusinessOrGhost_AlsoBusinessRed.wav;BusinessGreen.png;BusinessRed.png;BusinessBlue.png;GhostGreen.png;happy;Business;Ghost;Green;Red;Blue;Red;Green
critical-2-A5;AorB_A2.A1A2A3B1;2;1 of 2;VetRBG_NurseYR.wav;VetRed.png;VetBlue.png;VetGreen.png;NurseYellow.png;NurseRed.png;VetOrNurse_AlsoVetBlue.wav;VetRed.png;VetBlue.png;VetGreen.png;NurseYellow.png;happy;Vet;Nurse;Red;Blue;Green;Yellow;Red
critical-2-A5;AorB_A1.A1A2A3B2;2;2 of 2;MagicianYBR_AstronautGY.wav;MagicianYellow.png;MagicianBlue.png;MagicianRed.png;AstronautGreen.png;AstronautYellow.png;MagicianOrAstronaut_AlsoMagicianYellow.wav;MagicianYellow.png;MagicianBlue.png;MagicianRed.png;AstronautYellow.png;happy;Magician;Astronaut;Yellow;Blue;Red;Green;Yellow
critical-2-A5;AorB_A1.A1A2A3B1;3;1 of 2;ArtistRYB_AcrobatBY.wav;ArtistRed.png;ArtistYellow.png;ArtistBlue.png;AcrobatBlue.png;AcrobatYellow.png;ArtistOrAcrobat_AlsoArtistRed.wav;ArtistRed.png;ArtistYellow.png;ArtistBlue.png;AcrobatBlue.png;happy;Artist;Acrobat;Red;Yellow;Blue;Blue;Yellow
critical-2-A5;AorB_A3.A1A2A3B2;3;2 of 2;SoldierBRG_CowboyBG.wav;SoldierBlue.png;SoldierRed.png;SoldierGreen.png;CowboyBlue.png;CowboyGreen.png;SoldierOrCowboy_AlsoSoldierGreen.wav;SoldierBlue.png;SoldierRed.png;SoldierGreen.png;CowboyGreen.png;happy;Soldier;Cowboy;Blue;Red;Green;Blue;Green
critical-2-A5;AorB_A2.A1A2A3B2;4;1 of 2;ChefBGY_GhostBY.wav;ChefBlue.png;ChefGreen.png;ChefYellow.png;GhostBlue.png;GhostYellow.png;ChefOrGhost_AlsoChefGreen.wav;ChefBlue.png;ChefGreen.png;ChefYellow.png;GhostYellow.png;happy;Chef;Ghost;Blue;Green;Yellow;Blue;Yellow
critical-2-A5;AorB_A2.A1A2A3B1;4;2 of 2;VetGYR_KnightBG.wav;VetGreen.png;VetYellow.png;VetRed.png;KnightBlue.png;KnightGreen.png;VetOrKnight_AlsoVetYellow.wav;VetGreen.png;VetYellow.png;VetRed.png;KnightBlue.png;happy;Vet;Knight;Green;Yellow;Red;Blue;Green
critical-2-A5;AorB_A1.A1A2A3B2;5;1 of 2;BusinessBYG_TennisBG.wav;BusinessBlue.png;BusinessYellow.png;BusinessGreen.png;TennisBlue.png;TennisGreen.png;BusinessOrTennis_AlsoBusinessBlue.wav;BusinessBlue.png;BusinessYellow.png;BusinessGreen.png;TennisGreen.png;happy;Business;Tennis;Blue;Yellow;Green;Blue;Green
critical-2-A5;AorB_A1.A1A2A3B1;5;2 of 2;GnomeGRY_ScientistRY.wav;GnomeGreen.png;GnomeRed.png;GnomeYellow.png;ScientistRed.png;ScientistYellow.png;GnomeOrScientist_AlsoGnomeGreen.wav;GnomeGreen.png;GnomeRed.png;GnomeYellow.png;ScientistRed.png;happy;Gnome;Scientist;Green;Red;Yellow;Red;Yellow
critical-2-A5;AorB_A3.A1A2A3B2;6;1 of 2;HairdresserGYR_RomanRB.wav;HairdresserGreen.png;HairdresserYellow.png;HairdresserRed.png;RomanRed.png;RomanBlue.png;HairdresserOrRoman_AlsoHairdresserRed.wav;HairdresserGreen.png;HairdresserYellow.png;HairdresserRed.png;RomanBlue.png;happy;Hairdresser;Roman;Green;Yellow;Red;Red;Blue
critical-2-A5;AorB_A3.A1A2A3B1;6;2 of 2;ClownYBR_DancerBY.wav;ClownYellow.png;ClownBlue.png;ClownRed.png;DancerBlue.png;DancerYellow.png;ClownOrDancer_AlsoClownRed.wav;ClownYellow.png;ClownBlue.png;ClownRed.png;DancerBlue.png;happy;Clown;Dancer;Yellow;Blue;Red;Blue;Yellow
