Item;Type;Group;Number;DomainIntro;domainImage1;domainImage2;domainImage3;domainImage4;domainImage5;Premises;judgmentImage1;judgmentImage2;TargetResponse;set_A;set_B;A1_color;A2_color;A3_color;B1_color;B2_color
critical-3-C4;AorB_B1.B1B2;1;1 of 2;SailorYRB_MermaidBY.wav;SailorYellow.png;SailorRed.png;SailorBlue.png;MermaidBlue.png;MermaidYellow.png;SailorOrMermaid_AlsoMermaidBlue.wav;MermaidBlue.png;MermaidYellow.png;happy;Sailor;Mermaid;Yellow;Red;Blue;Blue;Yellow
critical-3-C4;AorB_B2.B1B2;1;2 of 2;ArtisanRYB_PirateRB.wav;ArtisanRed.png;ArtisanYellow.png;ArtisanBlue.png;PirateRed.png;PirateBlue.png;ArtisanOrPirate_AlsoPirateBlue.wav;PirateRed.png;PirateBlue.png;happy;Artisan;Pirate;Red;Yellow;Blue;Red;Blue
critical-3-C4;AorB_B1.B1B2;2;1 of 2;KingGRY_ClownYR.wav;KingGreen.png;KingRed.png;KingYellow.png;ClownYellow.png;ClownRed.png;KingOrClown_AlsoClownYellow.wav;ClownYellow.png;ClownRed.png;happy;King;Clown;Green;Red;Yellow;Yellow;Red
critical-3-C4;AorB_B2.B1B2;2;2 of 2;FarmerRBG_PhotographerGR.wav;FarmerRed.png;FarmerBlue.png;FarmerGreen.png;PhotographerGreen.png;PhotographerRed.png;FarmerOrPhotographer_AlsoPhotographerRed.wav;PhotographerGreen.png;PhotographerRed.png;happy;Farmer;Photographer;Red;Blue;Green;Green;Red
critical-3-C4;AorB_B1.B1B2;3;1 of 2;AngelRGY_ArtistGR.wav;AngelRed.png;AngelGreen.png;AngelYellow.png;ArtistGreen.png;ArtistRed.png;AngelOrArtist_AlsoArtistGreen.wav;ArtistGreen.png;ArtistRed.png;happy;Angel;Artist;Red;Green;Yellow;Green;Red
critical-3-C4;AorB_B2.B1B2;3;2 of 2;LifeguardRYB_GhostYB.wav;LifeguardRed.png;LifeguardYellow.png;LifeguardBlue.png;GhostYellow.png;GhostBlue.png;LifeguardOrGhost_AlsoGhostBlue.wav;GhostYellow.png;GhostBlue.png;happy;Lifeguard;Ghost;Red;Yellow;Blue;Yellow;Blue
critical-3-C4;AorB_B2.B1B2;4;1 of 2;HairdresserBRY_DancerYB.wav;HairdresserBlue.png;HairdresserRed.png;HairdresserYellow.png;DancerYellow.png;DancerBlue.png;HairdresserOrDancer_AlsoDancerBlue.wav;DancerYellow.png;DancerBlue.png;happy;Hairdresser;Dancer;Blue;Red;Yellow;Yellow;Blue
critical-3-C4;AorB_B1.B1B2;4;2 of 2;MagicianRYB_ServerGB.wav;MagicianRed.png;MagicianYellow.png;MagicianBlue.png;ServerGreen.png;ServerBlue.png;MagicianOrServer_AlsoServerGreen.wav;ServerGreen.png;ServerBlue.png;happy;Magician;Server;Red;Yellow;Blue;Green;Blue
critical-3-C4;AorB_B2.B1B2;5;1 of 2;LawyerYRG_MusicianBR.wav;LawyerYellow.png;LawyerRed.png;LawyerGreen.png;MusicianBlue.png;MusicianRed.png;LawyerOrMusician_AlsoMusicianRed.wav;MusicianBlue.png;MusicianRed.png;happy;Lawyer;Musician;Yellow;Red;Green;Blue;Red
critical-3-C4;AorB_B1.B1B2;5;2 of 2;AcrobatYRB_BusinessRB.wav;AcrobatYellow.png;AcrobatRed.png;AcrobatBlue.png;BusinessRed.png;BusinessBlue.png;AcrobatOrBusiness_AlsoBusinessRed.wav;BusinessRed.png;BusinessBlue.png;happy;Acrobat;Business;Yellow;Red;Blue;Red;Blue
critical-3-C4;AorB_B2.B1B2;6;1 of 2;KnightRYB_MummyRY.wav;KnightRed.png;KnightYellow.png;KnightBlue.png;MummyRed.png;MummyYellow.png;KnightOrMummy_AlsoMummyYellow.wav;MummyRed.png;MummyYellow.png;happy;Knight;Mummy;Red;Yellow;Blue;Red;Yellow
critical-3-C4;AorB_B1.B1B2;6;2 of 2;SoldierBRY_SingerGB.wav;SoldierBlue.png;SoldierRed.png;SoldierYellow.png;SingerGreen.png;SingerBlue.png;SoldierOrSinger_AlsoSingerGreen.wav;SingerGreen.png;SingerBlue.png;happy;Soldier;Singer;Blue;Red;Yellow;Green;Blue
