Item;Type;Group;Number;DomainIntro;domainImage1;domainImage2;domainImage3;domainImage4;domainImage5;Premises;judgmentImage1;judgmentImage2;judgmentImage3;judgmentImage4;TargetResponse;set_A;set_B;A1_color;A2_color;A3_color;B1_color;B2_color
control-false-wrong-one-E5;AorB_B2.A1A2A3B1;1;1 of 2;SnowmanYGR_SoldierGR.wav;SnowmanYellow.png;SnowmanGreen.png;SnowmanRed.png;SoldierGreen.png;SoldierRed.png;SoldierRed.wav;SnowmanYellow.png;SnowmanGreen.png;SnowmanRed.png;SoldierGreen.png;sad;Snowman;Soldier;Yellow;Green;Red;Green;Red
control-false-wrong-one-E5;AorB_B1.A1A2A3B2;1;2 of 2;GardenerGBR_MusicianRB.wav;GardenerGreen.png;GardenerBlue.png;GardenerRed.png;MusicianRed.png;MusicianBlue.png;MusicianRed.wav;GardenerGreen.png;GardenerBlue.png;GardenerRed.png;MusicianBlue.png;sad;Gardener;Musician;Green;Blue;Red;Red;Blue
control-false-wrong-one-E5;AorB_B2.A1A2A3B1;2;1 of 2;HairdresserRBY_PilotYG.wav;HairdresserRed.png;HairdresserBlue.png;HairdresserYellow.png;PilotYellow.png;PilotGreen.png;PilotGreen.wav;HairdresserRed.png;HairdresserBlue.png;HairdresserYellow.png;PilotYellow.png;sad;Hairdresser;Pilot;Red;Blue;Yellow;Yellow;Green
control-false-wrong-one-E5;AorB_B1.A1A2A3B2;2;2 of 2;AngelGYR_ScubaYR.wav;AngelGreen.png;AngelYellow.png;AngelRed.png;ScubaYellow.png;ScubaRed.png;ScubaYellow.wav;AngelGreen.png;AngelYellow.png;AngelRed.png;ScubaRed.png;sad;Angel;Scuba;Green;Yellow;Red;Yellow;Red
control-false-wrong-one-E5;AorB_B1.A1A2A3B2;3;1 of 2;CowboyRGB_VetGB.wav;CowboyRed.png;CowboyGreen.png;CowboyBlue.png;VetGreen.png;VetBlue.png;VetGreen.wav;CowboyRed.png;CowboyGreen.png;CowboyBlue.png;VetBlue.png;sad;Cowboy;Vet;Red;Green;Blue;Green;Blue
control-false-wrong-one-E5;AorB_B2.A1A2A3B1;3;2 of 2;DancerGYR_PlumberGB.wav;DancerGreen.png;DancerYellow.png;DancerRed.png;PlumberGreen.png;PlumberBlue.png;PlumberBlue.wav;DancerGreen.png;DancerYellow.png;DancerRed.png;PlumberGreen.png;sad;Dancer;Plumber;Green;Yellow;Red;Green;Blue
control-false-wrong-one-E5;AorB_B1.A1A2A3B2;4;1 of 2;FighterYRB_LifeguardYG.wav;FighterYellow.png;FighterRed.png;FighterBlue.png;LifeguardYellow.png;LifeguardGreen.png;LifeguardYellow.wav;FighterYellow.png;FighterRed.png;FighterBlue.png;LifeguardGreen.png;sad;Fighter;Lifeguard;Yellow;Red;Blue;Yellow;Green
control-false-wrong-one-E5;AorB_B2.A1A2A3B1;4;2 of 2;PirateGYB_GnomeYG.wav;PirateGreen.png;PirateYellow.png;PirateBlue.png;GnomeYellow.png;GnomeGreen.png;GnomeGreen.wav;PirateGreen.png;PirateYellow.png;PirateBlue.png;GnomeYellow.png;sad;Pirate;Gnome;Green;Yellow;Blue;Yellow;Green
control-false-wrong-one-E5;AorB_B2.A1A2A3B1;5;1 of 2;KnightYBR_TeacherYG.wav;KnightYellow.png;KnightBlue.png;KnightRed.png;TeacherYellow.png;TeacherGreen.png;TeacherGreen.wav;KnightYellow.png;KnightBlue.png;KnightRed.png;TeacherYellow.png;sad;Knight;Teacher;Yellow;Blue;Red;Yellow;Green
control-false-wrong-one-E5;AorB_B1.A1A2A3B2;5;2 of 2;ChefGYB_ArtistGR.wav;ChefGreen.png;ChefYellow.png;ChefBlue.png;ArtistGreen.png;ArtistRed.png;ArtistGreen.wav;ChefGreen.png;ChefYellow.png;ChefBlue.png;ArtistRed.png;sad;Chef;Artist;Green;Yellow;Blue;Green;Red
control-false-wrong-one-E5;AorB_B1.A1A2A3B2;6;1 of 2;PirateYGR_AstronautRG.wav;PirateYellow.png;PirateGreen.png;PirateRed.png;AstronautRed.png;AstronautGreen.png;AstronautRed.wav;PirateYellow.png;PirateGreen.png;PirateRed.png;AstronautGreen.png;sad;Pirate;Astronaut;Yellow;Green;Red;Red;Green
control-false-wrong-one-E5;AorB_B2.A1A2A3B1;6;2 of 2;NurseRGY_MailmanYG.wav;NurseRed.png;NurseGreen.png;NurseYellow.png;MailmanYellow.png;MailmanGreen.png;MailmanGreen.wav;NurseRed.png;NurseGreen.png;NurseYellow.png;MailmanYellow.png;sad;Nurse;Mailman;Red;Green;Yellow;Yellow;Green
